P1_Texto	P1_Cita	P2_Texto	P3_Texto	P3_Cierre	P4_Texto	P5_Texto	P6_Texto	P6_Cierre
Porque donde están dos o tres congregados en mi nombre, allí estoy yo en medio de ellos.	Mateo 18:20	Dios también se hace presente en los momentos sencillos que compartimos con quienes amamos.	¿En qué momento reciente sentiste de manera especial la presencia de Dios?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, permite que pueda reconocer tu presencia aun en los momentos más sencillos de mi vida.	Declaro que nunca camino solo porque Dios permanece conmigo.	Escribe "Dios está conmigo" si hoy reconoces Su presencia.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Todo tiene su tiempo, y todo lo que se quiere debajo del cielo tiene su hora.	Eclesiastés 3:1	No compares tu proceso con el de otras personas; cada historia tiene temporadas diferentes.	¿Qué proceso de tu vida estás aprendiendo a esperar con paciencia?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, dame paciencia para respetar tus tiempos sin desesperarme durante la espera.	Declaro que puedo esperar con esperanza porque confío en los tiempos de Dios.	Escribe "Esperaré en Dios" si estás dispuesto a confiar en Su tiempo.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Mi socorro viene de Jehová, que hizo los cielos y la tierra.	Salmos 121:2	Hay ayudas que no llegan de donde esperabas, pero Dios puede abrir caminos que jamás habías considerado.	¿En qué área de tu vida necesitas recordar que tu ayuda viene de Dios?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, fortalece mi corazón cuando sienta que no puedo continuar por mis propias fuerzas.	Declaro que mi auxilio viene de Dios y no dependo únicamente de mis propias fuerzas.	Escribe "Mi ayuda viene de Dios" si hoy depositas tu confianza en Él.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El que habita al abrigo del Altísimo morará bajo la sombra del Omnipotente.	Salmos 91:1	Buscar refugio en Dios no significa que nunca habrá dificultades, sino saber dónde acudir cuando aparezcan.	¿Dónde encuentras mayor tranquilidad cuando atraviesas una dificultad?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre celestial, sé mi refugio cuando el temor quiera ocupar el lugar de la confianza.	Declaro que mi corazón encuentra refugio y seguridad en la presencia de Dios.	Escribe "Dios es mi refugio" si hoy decides acercarte a Él.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Fíate de Jehová de todo tu corazón, y no estribes en tu propia prudencia.	Proverbios 3:5	No todo lo que parece incierto está fuera del cuidado de Dios; algunas respuestas necesitan tiempo para revelarse.	¿Qué decisión estás buscando poner delante de Dios antes de actuar?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame discernimiento para elegir con sabiduría y humildad en cada decisión.	Declaro que buscaré la dirección de Dios antes de dejarme llevar por la incertidumbre.	Escribe "Guíame, Señor" si quieres poner tus decisiones delante de Dios.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Porque siete veces cae el justo, y vuelve a levantarse.	Proverbios 24:16	Un tropiezo no tiene que convertirse en el final de tu historia; también puede ser una oportunidad para levantarte con mayor experiencia.	¿Qué situación te enseñó que todavía puedes levantarte después de caer?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, dame valor para levantarme cada vez que una dificultad intente detenerme.	Declaro que mis errores no definirán mi futuro; aprenderé, avanzaré y continuaré.	Escribe "Me levantaré" si hoy decides no rendirte ante las dificultades.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
El corazón alegre constituye buen remedio; mas el espíritu triste seca los huesos.	Proverbios 17:22	Cuidar tu alegría también puede ser una forma de reconocer los regalos cotidianos que Dios pone delante de ti.	¿Qué pequeño detalle logró alegrarte el corazón recientemente?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a conservar la alegría y a encontrar motivos para sonreír aun durante los días difíciles.	Declaro que cultivaré un corazón agradecido y lleno de alegría.	Escribe "Hoy elijo alegrarme" si decides valorar las pequeñas bendiciones.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
La respuesta blanda quita la ira; mas la palabra áspera hace subir el furor.	Proverbios 15:1	A veces una respuesta tranquila puede cambiar completamente el rumbo de una conversación difícil.	¿Te ha ayudado alguna vez guardar la calma durante una discusión?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, pon sabiduría en mis palabras para responder con amor aun cuando me sienta provocado.	Declaro que mis palabras serán instrumentos de paz y no de conflicto.	Escribe "Quiero hablar con amor" si deseas cuidar tus palabras hoy.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Mejor es adquirir sabiduría que oro preciado; y adquirir inteligencia vale más que la plata.	Proverbios 16:16	Los bienes pueden cambiar de valor, pero lo que aprendes puede acompañarte durante toda tu vida.	¿Qué enseñanza recibida en el pasado todavía influye en tus decisiones actuales?	🤍 Compártelo en los comentarios. — Aclama a Dios	Padre, ayúdame a buscar conocimiento que me haga crecer y sabiduría para utilizarlo correctamente.	Declaro que seguiré creciendo en sabiduría y aprendiendo de cada experiencia.	Escribe "Quiero crecer" si deseas seguir aprendiendo cada día.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
Sobre toda cosa guardada, guarda tu corazón; porque de él mana la vida.	Proverbios 4:23	Lo que permites entrar constantemente en tu corazón puede influir en la manera en que ves el mundo y enfrentas tus días.	¿Qué hábito necesitas cuidar para proteger mejor tu paz interior?	🤍 Compártelo en los comentarios. — Aclama a Dios	Señor, ayúdame a cuidar mis pensamientos, mis palabras y aquello que alimenta mi corazón.	Declaro que protegeré mi corazón de aquello que robe mi paz y debilite mi fe.	Escribe "Cuido mi corazón" si hoy quieres proteger tu vida espiritual.	✍️ Escríbelo y compártelo con alguien que lo necesite. — Aclama a Dios
